cat_periodo,mrun,gen_alu,fec_nac_alu,rango_edad,anio_ing_carr_ori,sem_ing_carr_ori,fecha_obtencion_titulo,tipo_inst_1,tipo_inst_2,cod_inst,nomb_inst,cod_carrera,nomb_carrera,nivel_global,nivel_carrera_1,nivel_carrera_2,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,jornada,modalidad,tipo_plan_carr,area_conocimiento,area_generica,cine_f_13_area,cine_f_13_subarea,anio_titulo,mes_titulo,semestre_titulo,duracion_real_sem,edad_titulacion,edad_ingreso,sobreduracion_sem,indice_duracion,titulacion_oportuna,categoria_rezago,genero,cohorte_ingreso,es_no_presencial,atipico_duracion,atipico_edad,atipico_teorica,es_atipico
2020,3041730,2,199501,25 a 29 Años,2017,1,20210127,Universidades,Universidades Privadas,2,Universidad Finis Terrae,8,Actuacion,Pregrado,Profesional con Licenciatura,Carreras Profesionales,8,0,8,Metropolitana,Santiago,Providencia,Diurna,Presencial,Plan Regular,Arte y Arquitectura,Actuación y Teatro,Artes y Humanidades,Artes,2021,1,1,9,26,22,1,1.125,False,Rezago leve,Mujer,2017,False,False,False,False,False
2024,20014172,1,198205,40 y Más Años,2022,1,20250128,Institutos Profesionales,Institutos Profesionales,155,Ip los Leones,95,Tecnico en Ciber Seguridad,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Santiago,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Administración de Redes y Soporte,Tecnología de la Información y la Comunicación (Tic),Tecnología de la Información y la Comunicación (Tic),2025,1,1,7,42,40,2,1.4,False,Rezago leve,Hombre,2022,False,False,False,False,False
2022,16024739,1,199808,20 a 24 Años,2017,1,20221017,Universidades,Universidades Cruch,86,Pontificia Universidad Catolica de Chile,518,"Ingenieria Civil de Industrias, Diploma en Ingenieria de Transporte",Pregrado,Profesional con Licenciatura,Carreras Profesionales,12,0,12,Metropolitana,Santiago,Macul,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería Civil Industrial,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2022,10,2,12,24,19,0,1.0,True,Oportuna,Hombre,2017,False,False,False,False,False
2021,17360461,2,199411,25 a 29 Años,2019,1,20211007,Centros de Formación Técnica,Centros de Formación Técnica,260,Cft Santo Tomas,276,Tecnico en Odontologia Mencion Higienista Dental,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,0,5,Maule,Talca,Talca,Diurna,Presencial,Plan Regular,Salud,Técnico Dental y Asistente de Odontología,Salud y Bienestar,Salud,2021,10,2,6,26,25,1,1.2,False,Rezago leve,Mujer,2019,False,False,False,False,False
2022,23461946,2,200108,20 a 24 Años,2021,1,20230116,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,86,Tecnico de Laboratorio Clinico y Banco de Sangre,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Cordillera,Puente Alto,Diurna,Presencial,Plan Regular,Salud,Técnico en Laboratorio Clínico,Salud y Bienestar,Salud,2023,1,1,5,21,20,0,1.0,True,Oportuna,Mujer,2021,False,False,False,False,False
2021,19292862,2,199207,25 a 29 Años,2015,1,20210910,Universidades,Universidades Cruch,70,Universidad de Chile,71,Interpretacion Musical,Pregrado,Profesional con Licenciatura,Carreras Profesionales,12,0,12,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Arte y Arquitectura,"Música, Canto o Danza",Artes y Humanidades,Artes,2021,9,2,14,29,23,2,1.167,False,Rezago leve,Mujer,2015,False,False,False,False,False
2020,2932289,2,199101,25 a 29 Años,2018,1,20200302,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,9,Contador Auditor,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Magallanes,Magallanes,Punta Arenas,Vespertina,Presencial,Plan Regular,Administración y Comercio,Contador Auditor,Administración de Empresas y Derecho,Educación Comercial y Administración,2020,3,1,5,29,27,-3,0.625,True,Oportuna,Mujer,2018,False,False,False,False,False
2020,1455435,1,199905,20 a 24 Años,2018,1,20200615,Centros de Formación Técnica,Centros de Formación Técnica,430,Cft Inacap,151,Climatizacion,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,0,4,Metropolitana,Santiago,Macul,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Refrigeración y Climatización,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2020,6,1,5,21,19,1,1.25,False,Rezago leve,Hombre,2018,False,False,False,False,False
2025,24372835,1,200001,25 a 29 Años,2020,1,20260119,Universidades,Universidades Privadas,4,Universidad Central de Chile,954,Kinesiologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Salud,Kinesiología,Salud y Bienestar,Salud,2026,1,1,13,26,20,3,1.3,False,Rezago moderado,Hombre,2020,False,False,False,False,False
2024,3620761,1,199612,25 a 29 Años,2015,1,20240809,Universidades,Universidades Cruch,90,Universidad Austral de Chile,22,Enfermeria,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Los Ríos,Valdivia,Valdivia,Diurna,Presencial,Plan Regular,Salud,Enfermería,Salud y Bienestar,Salud,2024,8,2,20,27,19,10,2.0,False,Rezago severo,Hombre,2015,False,False,False,False,False
