area_conocimiento,Hombre,Mujer,total,pct_mujeres,brecha_sobreduracion
Educación,29324,117714,147038,80.1,-0.88
Salud,48730,183738,232468,79.0,-0.44
Ciencias Sociales,35735,93902,129637,72.4,-0.55
Humanidades,2767,5046,7813,64.6,-0.3
Arte y Arquitectura,19748,34317,54065,63.5,-0.97
Administración y Comercio,115801,169385,285186,59.4,-0.42
Derecho,12376,16372,28748,57.0,-0.66
Agropecuaria,13415,17500,30915,56.6,-0.52
Ciencias Básicas,7675,5830,13505,43.2,-0.14
Tecnología,257123,60262,317385,19.0,-0.18
