region_sede,titulados,media,mediana,p25,p75,pct_oportuna
Atacama,14809,3.69,2.0,1.0,5.0,10.6
Antofagasta,41221,3.64,2.0,1.0,5.0,13.8
Arica y Parinacota,15943,3.63,2.0,1.0,5.0,8.1
Tarapacá,19979,3.53,2.0,1.0,5.0,11.2
Los Ríos,24290,3.44,2.0,1.0,5.0,8.4
Aysén,2887,3.18,1.0,1.0,4.0,13.5
Coquimbo,47662,3.11,2.0,1.0,4.0,14.3
Valparaíso,127128,3.03,2.0,1.0,4.0,17.3
Magallanes,7716,2.8,1.0,1.0,3.0,10.0
Los Lagos,45347,2.79,1.0,1.0,4.0,17.8
Biobío,130380,2.75,1.0,1.0,4.0,18.2
Ñuble,27264,2.7,1.0,1.0,3.0,13.3
La Araucanía,54825,2.59,1.0,1.0,4.0,24.8
Metropolitana,592405,2.58,1.0,1.0,3.0,20.9
Lib. Gral. B. O'Higgins,32583,2.54,1.0,1.0,3.0,23.5
Maule,62321,2.43,1.0,1.0,3.0,21.5
