nomb_carrera,titulados,media,mediana,p25,p75,pct_oportuna
Prevencion de Riesgos,3480,7.57,6.0,1.0,13.0,19.3
Mecanica Automotriz en Sistemas Electronicos,5813,6.57,5.0,3.0,9.0,0.2
Derecho,23808,6.4,5.0,3.0,9.0,4.2
Medicina Veterinaria,7458,5.02,4.0,2.0,7.0,7.7
Ingenieria Civil,3996,4.71,4.0,2.0,7.0,6.0
Tecnico en Mantenimiento Industrial,5748,4.71,3.0,1.0,7.0,3.0
Electricidad Industrial Mencion Instalaciones Electricas,3185,4.47,3.0,1.0,6.0,1.3
"Ingenieria en Maquinaria, Vehiculos Automotrices y Sistemas Electronicos",5700,4.37,3.0,1.0,6.0,0.4
Agronomia,4200,4.36,3.0,2.0,6.0,3.7
Ingenieria en Administracion de Empresas Mencion Finanzas,4410,4.31,3.0,1.0,6.0,1.8
Ingenieria en Minas,3257,4.3,3.0,1.0,7.0,12.0
Quimica y Farmacia,4545,4.23,3.0,2.0,6.0,5.3
Ingenieria Mecanica en Mantenimiento Industrial,4125,4.14,3.0,1.0,5.0,0.7
Analista Programador,6294,4.12,3.0,1.0,5.0,4.4
Arquitectura,9112,4.02,3.0,1.0,5.0,7.5
Odontologia,10501,3.82,3.0,1.0,5.0,12.8
Ingenieria Civil Industrial,21404,3.79,3.0,1.0,5.0,10.3
Gastronomia Internacional,9674,3.76,3.0,1.0,5.0,8.3
Administracion de Empresas,14241,3.71,2.0,1.0,5.0,11.0
Ingenieria en Construccion,13589,3.65,2.0,1.0,5.0,17.0
Tecnologia Medica,11191,3.6,3.0,1.0,5.0,4.7
Administracion Gastronomica Internacional,3270,3.4,3.0,1.0,4.0,0.4
Kinesiologia,16115,3.3,3.0,1.0,5.0,12.0
Nutricion y Dietetica,11852,3.24,3.0,1.0,5.0,11.8
Analista Programador Computacional,3309,3.21,2.0,1.0,4.0,19.5
Ingenieria Comercial,40139,3.19,2.0,1.0,4.0,8.5
Construccion Civil,11197,3.13,2.0,1.0,5.0,15.2
Obstetricia y Puericultura,6080,3.09,2.0,1.0,4.0,8.7
Enfermeria,33401,2.9,2.0,1.0,4.0,18.2
Fonoaudiologia,9482,2.89,2.0,1.0,4.0,14.4
Ingenieria en Informatica,14881,2.89,1.0,1.0,4.0,17.2
Diseño,3651,2.85,2.0,1.0,4.0,10.9
Tecnico en Construccion,8692,2.8,1.0,0.0,3.0,25.4
Contador Auditor,8019,2.72,1.0,1.0,4.0,13.9
Ingenieria Agricola,3118,2.66,1.0,1.0,3.0,6.5
