variable,descenso_gradiente,solucion_cerrada,logistica,diferencia_abs
dur_total_carr,-0.3817,-0.3818,0.0548,0.0001
edad_ingreso,-0.5246,-0.5246,0.2914,0.0
genero=Mujer,-0.4054,-0.4053,0.1276,0.0001
tipo_inst_1=Institutos Profesionales,-0.5437,-0.5436,0.8894,0.0001
tipo_inst_1=Universidades,0.9159,0.9161,-0.0404,0.0002
area_conocimiento=Agropecuaria,0.712,0.7123,-0.3771,0.0003
area_conocimiento=Arte y Arquitectura,0.0021,0.0022,0.109,0.0001
area_conocimiento=Ciencias Básicas,1.3578,1.3637,-0.4234,0.0059
area_conocimiento=Ciencias Sociales,-0.5219,-0.5218,0.1589,0.0001
area_conocimiento=Derecho,2.8622,2.8625,-0.4754,0.0003
area_conocimiento=Educación,-0.8023,-0.8022,0.3291,0.0001
area_conocimiento=Humanidades,-0.5427,-0.5544,0.1488,0.0117
area_conocimiento=Salud,-0.3771,-0.377,0.4522,0.0001
area_conocimiento=Tecnología,0.9057,0.9058,-0.3037,0.0001
modalidad=Presencial,-0.1448,-0.1449,-0.2503,0.0001
modalidad=Semipresencial,0.0171,0.0166,0.1035,0.0005
