implementacion,n,segundos,us_por_elemento,memoria_pico_kb,repeticiones,exponente_empirico
agrupar_media O(n),20000,0.007074,0.3537,,3,0.96
agrupar_media O(n),40000,0.014297,0.3574,,3,0.96
agrupar_media O(n),80000,0.03048,0.381,,3,0.96
agrupar_media O(n),160000,0.051214,0.3201,,3,0.96
agrupar_media O(n),320000,0.103023,0.3219,,3,0.96
agrupar_media O(n),640000,0.201599,0.315,,3,0.96
ordenar_merge O(n log n),20000,0.048483,2.4241,,3,1.08
ordenar_merge O(n log n),40000,0.10634,2.6585,,3,1.08
ordenar_merge O(n log n),80000,0.218831,2.7354,,3,1.08
ordenar_merge O(n log n),160000,0.465549,2.9097,,3,1.08
ordenar_merge O(n log n),320000,0.981142,3.0661,,3,1.08
ordenar_merge O(n log n),640000,2.070654,3.2354,,3,1.08
quickselect O(n),20000,0.003148,0.1574,,3,1.22
quickselect O(n),40000,0.006249,0.1562,,3,1.22
quickselect O(n),80000,0.020975,0.2622,,3,1.22
quickselect O(n),160000,0.025303,0.1581,,3,1.22
quickselect O(n),320000,0.091263,0.2852,,3,1.22
quickselect O(n),640000,0.228289,0.3567,,3,1.22
sorted (C),20000,0.001149,0.0575,,3,1.03
sorted (C),40000,0.002329,0.0582,,3,1.03
sorted (C),80000,0.004651,0.0581,,3,1.03
sorted (C),160000,0.009796,0.0612,,3,1.03
sorted (C),320000,0.0196,0.0612,,3,1.03
sorted (C),640000,0.04054,0.0633,,3,1.03
ordenar_insercion O(n²),500,0.004272,8.543,,3,2.0
ordenar_insercion O(n²),1000,0.016393,16.3927,,3,2.0
ordenar_insercion O(n²),2000,0.06552,32.7601,,3,2.0
ordenar_insercion O(n²),4000,0.272182,68.0456,,3,2.0
